id,start,label,comm_tkn,gender,business_type,bal,vol_trans_in,vol_trans_out,n_trans_in,n_trans_out
0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2018-09-26T09:01:45+03:00,0,LINDI,Male,Other,9037,36973.66640516215,27936.005513145883,57,172
0xbe9e9a4b6bddec171bced854615b861479933e44,2018-10-13T14:04:10+03:00,1,GEP,Male,Labour,12689,15052.908064349791,2363.545063570244,184,56
0xe6d39ad7c6be64673ec18af4a2eb02f2bea88e15,2018-09-26T16:26:25+03:00,2,SC,Female,Other,0,1724369.0033757337,1724369.0033757337,180,188
0x3700dd6c99f396c48e6658102ab2e18dc776d243,2018-09-17T15:50:40+03:00,3,OLYMPIC,Male,Other,4485,96118.89144581518,91632.95886949523,515,492
0xf87ea990cc4a20cfeb1c806ff7f3e486e06ca786,2018-10-19T10:57:55+03:00,4,GATINA,Male,Food,572,6651.689800676415,6030.0,129,126
0xce5d7f374bbe3a6144df208d4d634a1159644f4f,2018-10-18T14:43:40+03:00,5,GATINA,Male,General shop,664,1679.3782984916288,965.0,39,20
0xc60de6c505213471c608356a367251b045b2e483,2018-10-24T12:34:05+03:00,6,GATINA,Female,Food,268,1447.7098877278372,1179.0,24,30
0xa77066504cd75b03a0be9a9589eb15665fdf915a,2018-10-18T11:20:55+03:00,7,GATINA,Female,General shop,499,811.631281071096,312.0,21,16
0x4ec34d79358cb843da4bedc11044c35d5d06b923,2018-10-24T15:40:10+03:00,8,CONGO,Female,Food,694,2169.614874510032,1475.0,25,20
0x0e5a6224bb6cda498f532da7f7d0fc2183870ea5,2018-10-17T14:59:55+03:00,9,CONGO,Female,General shop,2819,6047.655071015668,3228.0,101,68
0xaefc5a418a3d58b04519f3bb05811b7ce6882340,2018-10-17T15:45:40+03:00,10,CONGO,Female,Labour,223,2758.0,2535.0,25,31
0x15a32e92e88b09eb07aa3da1abd8062a8f114129,2018-10-19T11:35:20+03:00,11,CONGO,Female,Labour,556,3472.678592003977,2916.0,61,98
0x886e3d1a0cc911fdd7be4293ab588758163ae52d,2018-09-24T15:53:20+03:00,12,BANGLA,Female,Food,1028,1892.0,864.0,17,6
0x29d98f4649743a7d570f7628264d7962327005f3,2018-09-25T12:41:25+03:00,13,BANGLA,Female,Food,1063,3375.0,2292.0,35,31
0xf3e3658e90ffbe9c0eb04b5aa51e7b34253cb4cd,2018-10-01T11:29:35+03:00,14,BANGLA,Male,Labour,432,795.0,363.0,10,4
0x0d8ea4c54c01ad8d962de1e9250758ef95431410,2018-09-24T14:28:45+03:00,15,BANGLA,Male,Labour,1274,1274.0,0,1,0
0x07d9877772f197784dbb90a83929626d2116a2f2,2018-09-24T13:40:15+03:00,16,KANG,Male,Labour,690,740.0,50.0,7,2
0xb9cb8c3c6f9d06152e3034260eb24ea3572b49ad,2018-09-24T14:00:30+03:00,17,BANGLA,Male,Labour,500,530.0,30.0,3,1
0xf4968af0f60c35bff35abb6ec495c24ec6fea9f0,2018-10-25T15:41:00+03:00,18,LINDI,Female,Food,564,720.0,206.0,13,7
0xde0598d67e7b22c64462f6499e5329b6069e39ee,2018-10-25T15:51:05+03:00,19,CONGO,Female,Food,764,4679.484090516749,3915.0,43,26
0x0932c61d1db614925629646237cde3300ab2ef02,2018-10-25T16:32:10+03:00,20,LINDI,Female,Labour,300,535.0,235.0,6,9
